




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
CHESNUT ELEM                  1862                          447                           71                            40                            298                           298                           1                             1155                          114                           7                             3                             57                            57                            0                             238                           1393                          
CLAIREMONT EAST               2815                          631                           106                           1031                          108                           5                             0                             1881                          208                           9                             258                           31                            0                             0                             506                           2387                          
CLAIREMONT WEST               2847                          716                           162                           947                           106                           11                            0                             1942                          215                           28                            198                           20                            2                             0                             463                           2405                          
CLAIRMONT ROAD                2573                          641                           186                           333                           342                           10                            1                             1513                          192                           18                            86                            77                            2                             0                             375                           1888                          
CLARKSTON                     4226                          979                           74                            659                           399                           21                            4                             2136                          251                           7                             132                           61                            7                             1                             459                           2595                          
CLIFTON ELEM                  1328                          290                           17                            62                            405                           10                            0                             784                           65                            7                             11                            85                            2                             0                             170                           954                           
COLUMBIA DRIVE                1867                          327                           55                            324                           234                           22                            4                             966                           70                            4                             70                            44                            2                             1                             191                           1157                          
COLUMBIA ELEM                 1358                          266                           22                            82                            251                           5                             2                             628                           53                            2                             14                            46                            0                             0                             115                           743                           
COLUMBIA MIDDLE               1625                          269                           36                            95                            408                           11                            2                             821                           52                            3                             16                            79                            0                             0                             150                           971                           
CORALWOOD                     2752                          633                           152                           134                           936                           16                            1                             1872                          168                           33                            35                            203                           0                             0                             439                           2311                          
COVINGTON                     1668                          259                           25                            427                           37                            7                             6                             761                           88                            4                             94                            7                             1                             2                             196                           957                           
COVINGTON HWY LIBRARY         953                           146                           11                            131                           19                            5                             0                             312                           25                            2                             36                            2                             0                             0                             65                            377                           
CROSS KEYS HIGH               1748                          486                           67                            35                            517                           7                             0                             1112                          115                           11                            5                             100                           2                             2                             235                           1347                          
CROSSROADS                    2293                          403                           44                            594                           121                           237                           1                             1400                          96                            2                             105                           17                            38                            1                             259                           1659                          
DORAVILLE NORTH               2216                          606                           63                            36                            409                           56                            2                             1172                          155                           6                             7                             84                            14                            0                             266                           1438                          
DORAVILLE SOUTH               1010                          311                           25                            10                            197                           5                             0                             548                           81                            3                             4                             71                            3                             0                             162                           710                           
DRESDEN ELEM                  3844                          906                           105                           63                            1026                          8                             1                             2109                          279                           36                            15                            249                           6                             0                             585                           2694                          
DRUID HILLS HIGH              2535                          885                           113                           392                           148                           24                            6                             1568                          179                           13                            72                            29                            3                             0                             296                           1864                          
DUNAIRE ELEM                  1603                          350                           35                            467                           39                            10                            3                             904                           79                            4                             110                           10                            7                             0                             210                           1114                          
DUNWOODY                      2468                          535                           111                           38                            111                           710                           4                             1509                          134                           23                            5                             26                            152                           1                             341                           1850                          
DUNWOODY HIGH                 1772                          439                           146                           10                            112                           562                           0                             1269                          93                            28                            3                             21                            97                            1                             243                           1512                          
DUNWOODY LIBRARY              2234                          512                           145                           18                            64                            890                           1                             1630                          93                            22                            1                             11                            139                           1                             267                           1897                          
EAST LAKE ELEM                3211                          564                           107                           636                           298                           227                           0                             1832                          199                           22                            163                           45                            71                            2                             502                           2334                          
EMBRY HILLS                   1695                          403                           86                            28                            587                           7                             2                             1113                          127                           6                             2                             122                           0                             0                             257                           1370                          
EMORY ROAD                    1130                          292                           111                           168                           69                            5                             3                             648                           67                            13                            23                            24                            1                             0                             128                           776                           
EMORY SOUTH                   2943                          702                           137                           559                           276                           131                           0                             1805                          232                           25                            138                           73                            37                            0                             505                           2310                          
EPWORTH                       3505                          833                           127                           729                           143                           366                           3                             2201                          359                           38                            207                           50                            139                           1                             794                           2995                          
EVANSDALE ELEM                2389                          545                           99                            52                            768                           10                            0                             1474                          149                           13                            14                            142                           2                             0                             320                           1794                          
FAIRINGTON ELEM               3724                          755                           52                            413                           398                           317                           2                             1937                          167                           5                             58                            58                            57                            1                             346                           2283                          
FERNBANK ELEM                 1937                          483                           109                           509                           121                           37                            0                             1259                          189                           30                            135                           24                            14                            1                             393                           1652                          
FLAKES MILL FIRE STATION      1569                          374                           28                            89                            447                           21                            1                             960                           87                            3                             20                            69                            5                             0                             184                           1144                          
FLAT ROCK ELEM                2332                          415                           61                            268                           360                           411                           2                             1517                          75                            8                             40                            48                            73                            0                             244                           1761                          
FLAT SHOALS                   1825                          282                           51                            56                            493                           8                             2                             892                           77                            6                             17                            109                           1                             0                             210                           1102                          
FLAT SHOALS ELEM              1744                          381                           31                            68                            435                           9                             0                             924                           86                            5                             19                            90                            2                             0                             202                           1126                          
FLAT SHOALS LIBRARY           1961                          395                           38                            115                           453                           8                             7                             1016                          83                            2                             18                            80                            4                             0                             187                           1203                          
FLAT SHOALS PARKWAY           2816                          468                           71                            220                           1056                          32                            2                             1849                          86                            7                             31                            164                           8                             1                             297                           2146                          
FREEDOM MIDDLE                2419                          536                           59                            633                           117                           80                            5                             1430                          95                            14                            118                           14                            11                            4                             256                           1686                          
GEORGETOWN SQUARE             3139                          789                           85                            38                            229                           769                           4                             1914                          146                           9                             7                             31                            117                           0                             310                           2224                          
GLENHAVEN                     1321                          323                           17                            333                           44                            25                            4                             746                           70                            3                             56                            6                             5                             1                             141                           887                           
GLENNWOOD - 04                770                           208                           31                            236                           31                            4                             0                             510                           72                            5                             61                            4                             1                             0                             143                           653                           
GLENNWOOD - 05                1117                          258                           67                            289                           35                            5                             0                             654                           69                            4                             84                            8                             1                             0                             166                           820                           
GLENWOOD ROAD                 1582                          332                           39                            327                           111                           52                            1                             862                           79                            3                             54                            14                            6                             1                             157                           1019                          
GRESHAM ROAD                  2737                          625                           46                            181                           552                           56                            3                             1463                          178                           9                             46                            135                           31                            0                             399                           1862                          
HAMBRICK ELEM                 2703                          578                           55                            678                           189                           16                            3                             1519                          115                           9                             127                           33                            5                             0                             289                           1808                          
HARRIS-MARGARET HARRIS ED     1563                          493                           44                            72                            371                           12                            2                             994                           135                           11                            21                            78                            1                             0                             246                           1240                          
HARRIS-NARVIE J. HARRIS ELEM  3065                          550                           55                            207                           1030                          41                            1                             1884                          126                           8                             27                            173                           6                             0                             340                           2224                          
HAWTHORNE ELEM                3166                          776                           92                            74                            903                           27                            1                             1873                          195                           15                            16                            220                           5                             0                             451                           2324                          
HENDERSON MILL ELEM           2595                          559                           110                           49                            948                           6                             2                             1674                          129                           22                            13                            202                           1                             0                             367                           2041                          
HUGH HOWELL                   1569                          387                           58                            76                            514                           5                             0                             1040                          113                           15                            13                            124                           1                             0                             266                           1306                          
HUNTLEY HILLS ELEM            2560                          683                           63                            43                            671                           88                            1                             1549                          149                           16                            3                             164                           19                            0                             351                           1900                          
IDLEWOOD ELEM                 1739                          416                           22                            184                           376                           7                             1                             1006                          102                           5                             29                            69                            1                             0                             206                           1212                          
INDIAN CREEK ELEM             1670                          334                           28                            362                           45                            3                             2                             774                           91                            4                             79                            12                            1                             0                             187                           961                           
JOHNSON ESTATES               1077                          283                           63                            160                           175                           42                            1                             724                           85                            22                            38                            38                            7                             0                             190                           914                           
JOLLY ELEM                    2513                          512                           71                            543                           207                           6                             4                             1343                          116                           12                            92                            40                            3                             0                             263                           1606                          
KELLEY CHAPEL ROAD            1133                          218                           27                            111                           310                           20                            0                             686                           56                            3                             16                            65                            5                             4                             149                           835                           
KELLEY LAKE ELEM              2401                          498                           47                            156                           504                           10                            3                             1218                          107                           8                             39                            116                           2                             0                             272                           1490                          
KING-ML KING JR HIGH          3652                          543                           103                           358                           1323                          119                           2                             2448                          116                           8                             55                            208                           21                            0                             408                           2856                          
KINGSLEY ELEM                 2208                          579                           150                           32                            195                           572                           0                             1528                          124                           28                            2                             41                            107                           0                             302                           1830                          
KNOLLWOOD ELEM                1894                          440                           34                            408                           85                            9                             4                             980                           136                           6                             99                            25                            2                             1                             269                           1249                          
KITTREDGE ELEM                1884                          399                           99                            26                            634                           66                            4                             1228                          119                           27                            3                             165                           10                            0                             324                           1552                          
LAKESIDE HIGH                 2760                          669                           174                           49                            950                           8                             0                             1850                          195                           33                            10                            201                           1                             0                             440                           2290                          
LAVISTA                       2602                          760                           91                            139                           472                           33                            0                             1495                          191                           25                            31                            119                           4                             0                             370                           1865                          
LAVISTA ROAD                  1856                          559                           86                            177                           300                           19                            1                             1142                          166                           16                            53                            73                            3                             0                             311                           1453                          
LIN-MARY LIN ELEM             2609                          652                           104                           501                           146                           220                           3                             1626                          229                           34                            120                           52                            80                            2                             517                           2143                          
LITHONIA                      1036                          235                           28                            99                            38                            130                           0                             530                           56                            6                             25                            11                            32                            0                             130                           660                           
LITHONIA HIGH                 2467                          524                           36                            365                           142                           278                           3                             1348                          129                           5                             78                            15                            48                            2                             277                           1625                          
LIVSEY ELEM                   1295                          242                           51                            15                            565                           2                             0                             875                           79                            14                            2                             121                           2                             0                             218                           1093                          
MARBUT ELEM                   3372                          646                           52                            620                           221                           458                           3                             2000                          126                           7                             96                            31                            70                            1                             331                           2331                          
MATHIS-BOB MATHIS ELEM        2273                          391                           59                            225                           764                           31                            3                             1473                          89                            7                             44                            132                           4                             4                             280                           1753                          
MCLENDON                      1972                          514                           37                            314                           197                           9                             1                             1072                          178                           10                            78                            47                            1                             0                             314                           1386                          
MCNAIR ACADEMY                1628                          362                           49                            223                           233                           38                            1                             906                           105                           5                             55                            68                            13                            0                             246                           1152                          
MCNAIR HIGH                   3081                          611                           74                            268                           529                           182                           2                             1666                          253                           19                            76                            137                           62                            1                             548                           2214                          
MCNAIR MIDDLE                 1925                          382                           37                            208                           331                           24                            2                             984                           108                           10                            54                            82                            7                             2                             263                           1247                          
MCWILLIAMS                    1884                          392                           35                            255                           347                           159                           0                             1188                          86                            7                             53                            40                            28                            0                             214                           1402                          
MEADOWVIEW ELEM               2733                          477                           68                            180                           681                           36                            3                             1445                          126                           12                            35                            190                           8                             0                             371                           1816                          
MEDLOCK ELEM                  1928                          546                           79                            354                           223                           5                             0                             1207                          190                           15                            106                           65                            5                             0                             381                           1588                          
MEMORIAL SOUTH                2182                          466                           32                            473                           31                            12                            4                             1018                          107                           4                             74                            13                            4                             2                             204                           1222                          
METROPOLITAN                  2557                          542                           65                            218                           166                           356                           0                             1347                          241                           12                            79                            44                            154                           1                             531                           1878                          
MIDVALE ELEM                  1828                          344                           86                            10                            768                           4                             1                             1213                          97                            15                            2                             189                           1                             0                             304                           1517                          
MIDVALE ROAD                  2437                          582                           93                            57                            901                           10                            0                             1643                          136                           10                            9                             147                           2                             0                             304                           1947                          
MIDWAY ELEM                   2296                          394                           59                            578                           85                            14                            2                             1132                          112                           4                             135                           11                            2                             2                             266                           1398                          
MILLER-ELDRIDGE L. MILLER ELEM2555                          525                           50                            735                           97                            132                           2                             1541                          86                            9                             121                           24                            21                            1                             262                           1803                          
MILLER GROVE HIGH             2378                          495                           34                            317                           181                           261                           2                             1290                          91                            8                             45                            30                            32                            0                             206                           1496                          
MILLER GROVE MIDDLE           3263                          604                           40                            467                           337                           268                           9                             1725                          126                           4                             80                            60                            45                            0                             315                           2040                          
MILLER GROVE ROAD             1775                          396                           34                            230                           309                           198                           0                             1167                          82                            5                             43                            56                            30                            0                             216                           1383                          
MONTCLAIR ELEM                1699                          419                           29                            45                            436                           6                             1                             936                           117                           4                             6                             78                            3                             0                             208                           1144                          
MONTGOMERY ELEM               2072                          574                           137                           15                            570                           95                            0                             1391                          155                           11                            2                             125                           18                            1                             312                           1703                          
MONTREAL                      1407                          393                           31                            59                            406                           6                             0                             895                           80                            9                             16                            84                            0                             0                             189                           1084                          
MT. VERNON EAST               2273                          615                           111                           13                            124                           740                           0                             1603                          119                           22                            3                             35                            112                           0                             291                           1894                          
