PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
DULUTH B,867,54,383,428,2,81,6,22,53,0,1018,94,417,505,2,2666,Gwinnett
DULUTH C,691,40,297,354,0,93,2,31,60,0,625,67,220,335,3,1914,Gwinnett
DULUTH D,1393,50,658,674,11,121,13,37,71,0,876,68,386,420,2,3331,Gwinnett
DULUTH E,1665,74,737,843,11,101,3,24,73,1,782,70,296,413,3,3671,Gwinnett
DULUTH F,1867,62,927,861,17,78,5,30,42,1,581,45,239,293,4,3826,Gwinnett
DULUTH G,761,50,320,389,2,66,4,14,48,0,971,62,371,536,2,2352,Gwinnett
DULUTH H,784,64,355,359,6,58,1,16,41,0,779,106,310,363,0,2142,Gwinnett
DULUTH I,1216,95,541,575,5,59,7,21,31,0,1508,148,610,746,4,3671,Gwinnett
DULUTH K,880,23,405,448,4,36,3,10,22,1,248,21,90,133,4,1965,Gwinnett
DUNCANS A,814,54,434,324,2,108,8,36,64,0,2109,123,1102,880,4,3752,Gwinnett
DUNCANS B,769,39,330,396,4,108,4,23,81,0,2119,122,961,1031,5,3786,Gwinnett
DUNCANS C,497,31,234,232,0,78,7,31,40,0,1509,93,694,720,2,2518,Gwinnett
DUNCANS D,1028,78,479,467,4,152,12,59,81,0,2675,180,1260,1230,5,4888,Gwinnett
GARNERS A,889,45,497,344,3,121,10,50,61,0,1325,103,678,540,4,2910,Gwinnett
GARNERS B,1219,52,706,459,2,55,7,22,25,1,713,89,369,254,1,2529,Gwinnett
GARNERS C,604,31,287,277,9,60,2,22,35,1,552,39,224,288,1,1603,Gwinnett
GARNERS D,1337,53,684,596,4,45,4,16,25,0,534,59,278,197,0,2543,Gwinnett
GARNERS F,467,18,236,211,2,49,4,12,33,0,523,38,253,229,3,1326,Gwinnett
GOODWINS A,1215,48,529,630,8,99,3,22,72,2,940,66,358,515,1,3049,Gwinnett
GOODWINS B,933,69,450,412,2,120,8,41,69,2,1419,114,644,660,1,3218,Gwinnett
