PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE,COUNTY
SS19A,1251,41,868,341,1,77,8,42,27,0,447,15,313,119,0,2527,Fulton
SS19B,909,25,652,230,2,68,1,48,19,0,334,18,237,79,0,1842,Fulton
SS20,742,28,486,226,2,45,3,26,16,0,393,22,273,98,0,1639,Fulton
SS22,983,96,603,281,3,55,0,20,34,1,655,53,358,242,2,2337,Fulton
SS25,453,47,278,128,0,47,4,21,22,0,622,57,352,213,0,1428,Fulton
SS26,1478,40,970,467,1,92,4,51,37,0,332,15,213,103,1,2850,Fulton
SS29A,966,49,651,266,0,86,1,41,44,0,681,50,380,251,0,2287,Fulton
SS31,382,33,279,70,0,22,5,9,8,0,333,14,247,71,1,925,Fulton
UC01A,1698,37,1010,646,5,40,2,19,19,0,81,3,47,31,0,2871,Fulton
UC01B,204,3,123,77,1,5,1,3,1,0,3,0,2,1,0,342,Fulton
UC01E,69,1,51,17,0,2,0,1,1,0,2,0,2,0,0,86,Fulton
UC02A,3879,79,2709,1084,7,53,0,26,27,0,167,13,97,57,0,5657,Fulton
UC02B,10,0,6,4,0,0,0,0,0,0,6,0,6,0,0,20,Fulton
UC031,1019,28,581,401,9,25,2,15,8,0,281,42,128,111,0,1960,Fulton
UC032,77,5,34,37,1,1,0,0,1,0,13,2,7,4,0,128,Fulton
