




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
06J                           2271                          663                           73                            661                           24                            78                            0                             1499                          174                           15                            142                           6                             12                            1                             350                           1849                          
06L1                          827                           252                           27                            229                           6                             11                            0                             525                           63                            8                             55                            1                             1                             0                             128                           653                           
06L2                          599                           191                           18                            161                           9                             2                             0                             381                           49                            4                             40                            2                             0                             0                             95                            476                           
06N                           1704                          317                           53                            545                           15                            13                            0                             943                           110                           15                            101                           5                             1                             0                             232                           1175                          
06Q                           429                           97                            2                             117                           11                            6                             0                             233                           18                            0                             28                            0                             2                             0                             48                            281                           
06R                           1515                          428                           59                            408                           14                            16                            0                             925                           99                            15                            74                            2                             3                             0                             193                           1118                          
07A                           5418                          1170                          214                           1794                          61                            33                            1                             3273                          265                           21                            331                           20                            11                            0                             648                           3921                          
07B                           2599                          549                           102                           1031                          20                            13                            5                             1720                          130                           17                            214                           4                             0                             2                             367                           2087                          
07C                           3351                          595                           343                           1056                          33                            19                            0                             2046                          123                           51                            186                           7                             8                             0                             375                           2421                          
07D                           3269                          699                           107                           1064                          18                            10                            5                             1903                          175                           16                            218                           3                             4                             1                             417                           2320                          
07E                           1748                          349                           79                            636                           30                            13                            2                             1109                          80                            13                            125                           7                             1                             0                             226                           1335                          
07F                           2570                          607                           92                            845                           21                            10                            7                             1582                          158                           16                            171                           5                             0                             0                             350                           1932                          
07H                           1790                          410                           77                            616                           14                            7                             0                             1124                          118                           14                            128                           0                             3                             0                             263                           1387                          
07J                           2359                          748                           54                            669                           26                            17                            10                            1524                          180                           5                             126                           5                             2                             5                             323                           1847                          
07M                           1851                          527                           45                            486                           19                            17                            1                             1095                          108                           8                             58                            4                             0                             0                             178                           1273                          
07N                           1561                          349                           40                            374                           29                            19                            0                             811                           84                            7                             72                            4                             4                             0                             171                           982                           
08A                           2482                          509                           95                            928                           13                            5                             1                             1551                          114                           20                            197                           3                             3                             1                             338                           1889                          
08B                           2895                          505                           66                            1231                          10                            10                            4                             1826                          122                           8                             272                           6                             1                             1                             410                           2236                          
08C                           1254                          197                           67                            515                           7                             3                             2                             791                           47                            14                            95                            2                             0                             0                             158                           949                           
08D                           947                           152                           49                            415                           1                             1                             3                             621                           30                            12                            84                            0                             0                             1                             127                           748                           
08E                           2312                          491                           115                           881                           5                             12                            2                             1506                          128                           29                            197                           3                             1                             0                             358                           1864                          
08F1                          1921                          441                           74                            746                           6                             3                             1                             1271                          100                           10                            152                           2                             2                             0                             266                           1537                          
08G                           2464                          536                           77                            689                           18                            12                            3                             1335                          117                           8                             106                           4                             2                             1                             238                           1573                          
08H                           2211                          414                           111                           922                           6                             12                            1                             1466                          96                            21                            153                           2                             0                             1                             273                           1739                          
08J                           2441                          585                           91                            895                           13                            29                            2                             1615                          153                           33                            196                           2                             7                             0                             391                           2006                          
08K                           924                           252                           17                            293                           6                             15                            2                             585                           62                            5                             49                            2                             3                             1                             122                           707                           
08L                           3357                          731                           118                           1166                          35                            42                            8                             2100                          169                           20                            237                           7                             6                             2                             441                           2541                          
08M                           1583                          441                           71                            534                           7                             6                             5                             1064                          89                            7                             117                           3                             0                             1                             217                           1281                          
08N1                          711                           147                           28                            280                           3                             0                             0                             458                           41                            5                             52                            0                             0                             1                             99                            557                           
08N2                          1143                          194                           131                           423                           2                             4                             0                             754                           45                            15                            70                            0                             1                             0                             131                           885                           
08P                           1195                          307                           16                            323                           18                            48                            1                             713                           67                            2                             51                            2                             5                             0                             127                           840                           
09A                           2755                          667                           54                            396                           46                            569                           6                             1738                          146                           10                            64                            4                             106                           2                             332                           2070                          
09B                           318                           80                            16                            5                             29                            30                            0                             160                           18                            0                             1                             6                             2                             0                             27                            187                           
09C                           2433                          468                           102                           46                            417                           219                           0                             1252                          101                           11                            6                             98                            55                            0                             271                           1523                          
09D                           1604                          321                           44                            27                            162                           119                           0                             673                           96                            5                             12                            54                            35                            0                             202                           875                           
09E                           2095                          371                           36                            45                            94                            469                           1                             1016                          99                            8                             8                             21                            88                            0                             224                           1240                          
09F                           3202                          814                           150                           1079                          40                            78                            0                             2161                          201                           20                            180                           6                             18                            1                             426                           2587                          
09G                           2681                          748                           55                            540                           29                            262                           0                             1634                          168                           14                            117                           10                            34                            0                             343                           1977                          
09H                           837                           242                           16                            150                           8                             69                            0                             485                           54                            4                             25                            5                             7                             0                             95                            580                           
09I                           1073                          207                           8                             29                            100                           74                            0                             418                           45                            0                             6                             15                            18                            0                             84                            502                           
09K                           3588                          567                           86                            29                            99                            692                           0                             1473                          200                           6                             4                             34                            184                           0                             428                           1901                          
09M                           1726                          367                           35                            77                            31                            651                           0                             1161                          91                            12                            10                            4                             114                           0                             231                           1392                          
10A                           2418                          442                           81                            28                            427                           403                           2                             1383                          106                           6                             5                             91                            80                            0                             288                           1671                          
10B                           3368                          534                           140                           75                            1131                          277                           3                             2160                          111                           14                            7                             187                           42                            1                             362                           2522                          
10C                           2113                          302                           66                            23                            206                           400                           5                             1002                          74                            5                             5                             49                            84                            1                             218                           1220                          
10D                           3555                          448                           70                            28                            695                           296                           15                            1552                          149                           10                            5                             186                           75                            3                             428                           1980                          
10E                           817                           166                           34                            12                            161                           75                            1                             449                           36                            2                             0                             32                            19                            0                             89                            538                           
10F                           901                           168                           34                            12                            174                           63                            2                             453                           67                            5                             6                             34                            18                            0                             130                           583                           
10G                           1109                          207                           28                            26                            333                           67                            0                             661                           62                            4                             4                             68                            16                            0                             154                           815                           
10H1                          333                           56                            7                             13                            79                            17                            0                             172                           14                            1                             1                             20                            4                             0                             40                            212                           
10H2                          1882                          349                           28                            38                            377                           103                           2                             897                           72                            7                             5                             78                            22                            1                             185                           1082                          
10I                           306                           38                            15                            10                            136                           18                            2                             219                           7                             1                             2                             23                            3                             0                             36                            255                           
10J                           797                           196                           16                            19                            85                            25                            6                             347                           63                            0                             0                             14                            8                             3                             88                            435                           
10K                           1213                          241                           30                            31                            341                           56                            0                             699                           54                            3                             6                             52                            20                            0                             135                           834                           
10M                           2075                          502                           42                            80                            304                           73                            8                             1009                          115                           8                             17                            73                            15                            0                             228                           1237                          
10P                           1149                          220                           34                            6                             121                           151                           2                             534                           77                            4                             3                             41                            29                            0                             154                           688                           
10R                           595                           173                           5                             6                             57                            34                            0                             275                           46                            1                             3                             20                            8                             0                             78                            353                           
11B                           4347                          705                           97                            80                            1358                          257                           3                             2500                          164                           12                            12                            264                           66                            4                             522                           3022                          
11C                           2494                          229                           57                            58                            1207                          100                           2                             1653                          42                            11                            7                             172                           16                            2                             250                           1903                          
11E1                          967                           165                           21                            18                            230                           81                            2                             517                           47                            1                             5                             49                            13                            0                             115                           632                           
11E2                          719                           109                           11                            13                            196                           57                            0                             386                           28                            3                             4                             52                            10                            0                             97                            483                           
11E3                          2570                          414                           35                            64                            621                           320                           1                             1455                          103                           4                             7                             114                           50                            0                             278                           1733                          
11G                           1840                          350                           35                            66                            282                           44                            4                             781                           93                            1                             10                            47                            6                             0                             157                           938                           
11H                           548                           105                           16                            15                            118                           22                            0                             276                           33                            1                             4                             27                            5                             0                             70                            346                           
11J                           1575                          306                           55                            29                            334                           62                            2                             788                           89                            3                             7                             71                            15                            0                             185                           973                           
11K                           1526                          339                           31                            53                            406                           67                            0                             896                           80                            7                             12                            80                            11                            1                             191                           1087                          
11M                           2554                          464                           38                            65                            646                           106                           4                             1323                          115                           4                             13                            99                            23                            0                             254                           1577                          
11N                           1931                          352                           44                            34                            581                           114                           8                             1133                          81                            0                             12                            124                           26                            4                             247                           1380                          
11P                           1574                          331                           63                            40                            302                           75                            0                             811                           83                            10                            8                             46                            14                            0                             161                           972                           
11R                           1523                          259                           27                            36                            213                           46                            0                             581                           78                            7                             12                            63                            10                            2                             172                           753                           
12A                           3914                          928                           56                            386                           491                           93                            8                             1962                          266                           12                            89                            122                           25                            2                             516                           2478                          
12D                           1048                          224                           13                            82                            112                           21                            5                             457                           55                            1                             17                            22                            9                             4                             108                           565                           
12E1                          1293                          219                           21                            39                            158                           17                            8                             462                           60                            0                             11                            40                            5                             5                             121                           583                           
12F                           781                           193                           10                            113                           22                            5                             1                             344                           51                            3                             24                            8                             3                             1                             90                            434                           
12G                           689                           225                           7                             29                            63                            16                            1                             341                           50                            0                             10                            13                            2                             0                             75                            416                           
12H                           2931                          714                           43                            253                           276                           41                            3                             1330                          192                           12                            60                            51                            6                             2                             323                           1653                          
12I                           812                           168                           3                             18                            120                           31                            0                             340                           34                            0                             6                             22                            10                            0                             72                            412                           
12J                           2139                          487                           29                            153                           243                           42                            0                             954                           135                           5                             39                            40                            6                             0                             225                           1179                          
12K                           2446                          650                           22                            221                           113                           58                            6                             1070                          173                           2                             57                            24                            11                            5                             272                           1342                          
12L                           471                           124                           8                             10                            34                            14                            0                             190                           35                            0                             7                             8                             0                             1                             51                            241                           
12M                           2073                          521                           23                            172                           205                           31                            0                             952                           142                           3                             44                            62                            8                             0                             259                           1211                          
12N                           729                           206                           1                             60                            15                            7                             0                             289                           50                            0                             19                            1                             2                             0                             72                            361                           
12S                           1474                          251                           3                             426                           15                            18                            2                             715                           61                            0                             94                            3                             3                             0                             161                           876                           
AP01A                         1739                          289                           71                            710                           3                             33                            2                             1108                          61                            11                            128                           2                             4                             0                             206                           1314                          
AP01B                         685                           119                           20                            234                           2                             10                            0                             385                           20                            1                             41                            0                             6                             0                             68                            453                           
AP01C                         1952                          321                           72                            798                           11                            75                            0                             1277                          64                            17                            170                           3                             6                             0                             260                           1537                          
AP01D                         713                           122                           25                            238                           8                             31                            0                             424                           31                            9                             49                            2                             8                             0                             99                            523                           
AP02B                         352                           25                            76                            72                            5                             11                            0                             189                           9                             6                             13                            0                             2                             0                             30                            219                           
AP03                          619                           157                           4                             102                           13                            38                            2                             316                           47                            0                             16                            1                             7                             2                             73                            389                           
